,index,train_logloss,train_accuracy,train_f1,valid_logloss,valid_accuracy,valid_f1
0,0,0.20873637064593834,0.9383362420011635,0.9334186646306368,0.5984299574558968,0.8140391700601125,0.8035615682009306
1,1,0.20071419075005065,0.9342156292418072,0.9283325247230628,0.6244600535691942,0.8064766337017646,0.7987808593580004
2,2,0.24095435849145977,0.9383362420011635,0.9298640907767195,0.6156048752773441,0.8010471204188482,0.7982849269153512
3,3,0.2409692403745916,0.938093853015319,0.9319761052120916,0.6037393297790039,0.80492534419236,0.7975204146152124
4,4,0.19990117316388553,0.9366395191002521,0.9321413536854055,0.6455459269376146,0.807252278456467,0.7961000578551797
5,average,0.21825506668518518,0.9371242970719411,0.9311465478055834,0.6175560286038106,0.8067481093659105,0.7988495653889349
