,0
3,18554.672772853002
4,18241.47309455928
5,17974.269193435055
6,17749.01180142315
7,17546.294772438312
8,17483.761450225804
9,17276.577435127256
10,17104.484900782198
11,17068.704471637368
12,16832.80415022745
13,16809.648711657745
14,16709.140717372644
15,16584.176179081504
16,16470.575837542558
17,16452.25663967936
18,16342.490675182184
19,16303.152083090243
20,16217.424466494253
